name,city,country,status.started,status.completed,height,floors,material,function,student
Municipal Building,New York City,US,1909,1914,176.7899933,34,steel,1,
Ross Tower,Dallas,US,0,1984,176.4799957,45,concrete,1,
Regions Building,Tampa,US,1990,1992,176.4799957,42,steel,1,
Two Houston Center,Houston,US,0,1974,176.4799957,40,steel,1,
One California Plaza,Los Angeles,US,1983,1985,176.1799927,42,steel,1,
111 Washington Street,New York City,US,0,0,176.1699982,52,concrete,1,
The Atlantic,Atlanta,US,2007,2009,175.8699951,46,concrete,1,
520 Madison Avenue,New York City,US,1980,1982,175.8699951,43,concrete/steel,1,
One World Financial Center,New York City,US,0,1985,175.8699951,37,steel,1,
Merchandise Mart,New York City,US,0,1973,175.5700073,42,steel,1,
The Vue,Charlotte,US,2008,2010,175.5,50,concrete,1,
5 Times Square,New York City,US,2000,2002,175.2599945,40,steel,1,
300 Madison Avenue,New York City,US,2001,2003,175.2599945,38,steel,1,
Lehman Building,New York City,US,1999,2001,175.2599945,38,steel,1,
Journal Squared 3,Jersey City,US,2014,2016,175,53,concrete,1,
Jade on the Beach,Sunny Isles Beach,US,2004,2008,175,51,concrete,1,
Carew Tower,Cincinnati,US,1929,1931,175,49,steel,1,
New York Marriott Marquis Hotel,New York City,US,0,1985,174.9600067,56,steel,1,
Wells Fargo Center,Seattle,US,0,1983,174.9600067,47,steel,1,
299 Park Avenue,New York City,US,1965,1967,174.9600067,42,steel,1,
The Fordham,Chicago,US,2001,2003,174.8099976,52,concrete,1,
190 South LaSalle,Chicago,US,1985,1987,174.6499939,40,steel,1,
Chevron Tower,San Francisco,US,0,1975,174.6499939,40,steel,1,
Socony Mobil Building,New York City,US,0,1956,174.3500061,42,steel,1,
1290 Avenue of the Americas,New York City,US,1961,1963,174.0399933,43,steel,1,
One South Dearborn,Chicago,US,2003,2005,173.9400024,39,composite,1,
The Skyscraper at SKYPLEX,Orlando,US,0,0,173.75,0,steel,2,
Onterie Center,Chicago,US,0,1986,173.7400055,58,concrete,2,
780 3rd Avenue,New York City,US,0,1983,173.7400055,49,concrete,1,
Seven World Trade Center,New York City,US,0,1987,173.7400055,47,steel,1,
Four Embarcadero Center,San Francisco,US,0,1984,173.7400055,45,steel,1,
600 3rd Avenue,New York City,US,0,1971,173.7400055,42,steel,1,
San Jacinto Monument,La Porte,US,1936,1939,173.6999969,0,masonry,2,
One Embarcadero Center,San Francisco,US,0,1970,173.4299927,45,steel,1,
Penobscot Building,Detroit,US,1927,1928,173.2599945,47,steel,1,
590 Fulton Street,New York City,US,2014,2016,173.1300049,52,concrete,1,
450 Lexington Avenue,New York City,US,1988,1991,173.1300049,38,steel,1,
Chicago Temple Building,Chicago,US,1922,1924,173.1300049,23,steel,2,
Paramount Tower,New York City,US,0,1998,172.8200073,51,concrete,1,
44 Montgomery,San Francisco,US,1966,1967,172.25,43,steel,1,
Palmolive Building,Chicago,US,1927,1929,172.2100067,37,steel,1,
230 Park Avenue,New York City,US,0,1928,172.2100067,35,steel,1,
Spear Tower,San Francisco,US,0,1976,172,42,steel,1,
111 Huntington Avenue,Boston,US,1999,2002,172,36,steel,1,
The Tower at PNC Plaza,Pittsburgh,US,2012,2015,172,33,composite,1,
Marina City I,Chicago,US,1960,1964,171.3999939,61,concrete,1,
Marina City II,Chicago,US,1960,1964,171.3999939,61,concrete,1,
Kluczynski Federal Building,Chicago,US,0,1974,171.3000031,42,steel,1,
30 Broad Street,New York City,US,1931,1932,171,48,steel,1,
US Bank Plaza I,Minneapolis,US,0,1981,171,40,concrete,1,
Huron Plaza,Chicago,US,0,1983,170.6900024,56,concrete,1,
Nelson Tower,New York City,US,0,1931,170.6900024,46,steel,1,
Hotel Sherry-Netherland,New York City,US,0,1927,170.6900024,40,steel,1,
Boeing International Headquarters,Chicago,US,0,1990,170.6900024,36,steel,1,
Madison Centre,Seattle,US,2015,2017,170.6900024,36,composite,1,
Reunion Tower,Dallas,US,0,1978,170.6900024,0,concrete,1,
Museum Tower,Dallas,US,2010,2013,170.6799927,42,concrete,1,
Blue Diamond Tower,Miami Beach,US,0,2000,170.3899994,44,concrete,1,
Green Diamond Tower,Miami Beach,US,0,2000,170.3899994,44,concrete,1,
South Park Tower,New York City,US,0,1986,170,51,concrete,1,
100 United Nations Plaza,New York City,US,0,1986,169.7799988,52,concrete,1,
Continental Can Building,New York City,US,1959,1962,169.7799988,39,steel,1,
The Parkshore,Chicago,US,0,1991,169.4700012,56,concrete,1,
North Harbor Tower,Chicago,US,0,1988,169.4700012,55,concrete,1,
VDARA,Las Vegas,US,2006,2009,169.4700012,55,concrete,1,
State of Georgia Building,Atlanta,US,0,1967,169.4700012,44,steel,1,
Leveque Tower,Columbus,US,1924,1927,169.3000031,47,steel,1,
Solitair Brickell,Miami,US,2015,2017,169.1999969,48,concrete,1,
Reuters Building,New York City,US,1998,2001,169.1999969,30,steel,1,
Civic Opera Building,Chicago,US,1927,1929,169.1699982,45,steel,2,
330 Madison Avenue,New York City,US,1963,1964,169.1699982,41,steel,1,
Equitable Building,New York City,US,1913,1915,169.1600037,38,steel,1,
Paramount at Edgewater Square,Miami,US,2006,2009,169.1399994,47,concrete,1,
Washington Monument,Washington D.C.,US,1848,1884,169.0500031,0,masonry,1,
Harbor Point,Chicago,US,0,1975,169,54,concrete,1,
Tower 111,New York City,US,2009,2011,169,48,concrete,1,
50 Biscayne,Miami,US,2005,2007,168.8600006,55,concrete,2,
Marriott Marquis Hotel,Atlanta,US,0,1985,168.8600006,52,concrete,1,
Quantum on the Bay South Tower,Miami,US,2005,2008,168.8600006,51,concrete,2,
The Belvedere,New York City,US,1997,1999,168.8600006,48,concrete,1,
Streeter Place,Chicago,US,2007,2009,168.7599945,55,concrete,1,
Newberry Plaza,Chicago,US,1972,1974,168.5599976,53,concrete,1,
Michigan Plaza South,Chicago,US,0,1985,168.5599976,46,concrete,1,
1133 Avenue of the Americas,New York City,US,0,1970,168.25,45,steel,1,
One Sansome Street,San Francisco,US,0,1984,168,43,steel,1,
Pittsfield Building,Chicago,US,1926,1927,167.9700012,38,steel,1,
Unysys Building,New York City,US,0,1963,167.9499969,44,steel,1,
Trump Palace,Sunny Isles Beach,US,2002,2005,167.9499969,43,concrete,1,
Downtown by Philippe Starck,New York City,US,0,1927,167.9499969,42,steel,1,
AT&T Long Lines Building,New York City,US,0,1974,167.9499969,29,steel,2,
Biscayne Beach,Miami,US,2014,2016,167.6499939,51,concrete,1,
Hyatt Times Square,New York City,US,2009,2013,167.6399994,53,concrete,2,
Acqualina Ocean Residences,Sunny Isles Beach,US,2001,2004,167.6399994,51,concrete,1,
The Biltmore,New York City,US,2001,2003,167.6399994,51,concrete,1,
500 Alton Tower,Miami Beach,US,0,0,167.6399994,50,concrete,1,
WEDGE International Tower,Houston,US,1981,1983,167.6399994,44,steel,1,
Trump Royale,Sunny Isles Beach,US,2005,2008,167.6399994,43,concrete,1,
Sheraton Dallas Hotel Central Tower,Dallas,US,0,1959,167.6399994,42,steel,1,
KBR Tower,Houston,US,0,1973,167.6399994,40,steel,1,
The Tower at 15 Central Park West,New York City,US,2005,2008,167.6399994,35,concrete,1,
400 West Market,Louisville,US,1991,1992,167.3399963,35,composite,1,
Brickell Heights North Tower,Miami,US,2014,2016,167.3000031,52,concrete,1,
1010 Brickell,Miami,US,2014,2017,167.0299988,50,concrete,2,
Bankers Trust West Annex,New York City,US,0,1971,167.0299988,41,steel,1,
Paraiso Bay Tower 1,Miami,US,2014,2017,167,55,concrete,1,
Paraiso Bay Tower 2,Miami,US,2014,2017,167,55,concrete,1,
50 United Nations Plaza,New York City,US,2012,2015,167,44,concrete,1,
455 North Park Drive ?Loews Chicago Hotel,Chicago,US,2012,2015,166.5700073,49,concrete,2,
The Corinthian,New York City,US,1986,1988,166.4199982,55,concrete,1,
Wells Fargo Center,Portland,US,1969,1973,166.4199982,40,steel,1,
San Antonio Marriott Rivercenter,San Antonio,US,1986,1988,166.4199982,38,concrete,1,
Transportation Building,New York City,US,0,1928,166.1199951,44,steel,1,
Jade Ocean,Sunny Isles Beach,US,2006,2009,166,51,concrete,1,
Park Millennium,Chicago,US,2000,2002,165.8800049,57,concrete,1,
The Galleria,New York City,US,0,1975,165.8000031,55,concrete,2,
Bank of America Fifth Avenue Plaza,Seattle,US,1979,1981,165.5099945,42,steel,1,
Opera Tower,Miami,US,2005,2007,165.5,56,concrete,1,
2 Gold Street,New York City,US,2003,2005,165.5,51,concrete,1,
AMLI River North,Chicago,US,2011,2013,165.4799957,49,concrete,1,
220 Riverside Boulevard At Trump Place,New York City,US,2001,2003,165.2599945,49,concrete,1,
17 State Street,New York City,US,0,1988,165.25,41,steel,1,
Viceroy,Miami,US,0,2009,165.1999969,50,concrete,2,
Grand Central Plaza,New York City,US,0,1973,165.1999969,38,steel,1,
Echelon Suite Tower,Las Vegas,US,2007,0,165,47,concrete,1,
One Rincon Hill North Tower,San Francisco,US,2012,2014,165,45,steel,1,
Ritz Hotel Tower,New York City,US,1925,1926,164.8999939,41,steel,1,
626 1st Avenue West Tower,New York City,US,2014,2016,164.6900024,46,concrete,1,
1285 Avenue of the Americas,New York City,US,1959,1960,164.6000061,42,steel,1,
"Eiffel Tower, Paris Las Vegas",Las Vegas,US,0,1998,164.6000061,0,steel,1,
14 Wall,New York City,US,1910,1912,164.5899963,29,steel,1,
Mandarin Oriental Hotel Las Vegas,Las Vegas,US,2007,2009,164.2899933,47,steel/concrete,2,
RBC Plaza,Minneapolis,US,1989,1992,164.1399994,40,concrete,1,
"Vizcayne, North Tower",Miami,US,2005,2008,164,49,concrete,1,
"Vizcayne, South Tower",Miami,US,0,2008,164,49,concrete,1,
Avant at Met Square,Miami,US,2015,2018,164,46,concrete,1,
Two International Place,Boston,US,0,1993,164,35,steel,1,
Lefcourt Colonial Building,New York City,US,0,1929,163.9799957,45,steel,1,
Shaklee Terrace Building,San Francisco,US,1979,1982,163.9799957,38,steel,1,
RBC Plaza,Raleigh,US,2006,2008,163.9799957,32,concrete,1,
Tribeca Tower,New York City,US,0,1990,163.6799927,53,concrete,1,
Quantum on the Bay North Tower,Miami,US,0,2008,163.3800049,44,concrete,2,
U.S. Bancorp Tower,Portland,US,1973,1983,163.3800049,42,steel,1,
901 Fifth Avenue,Seattle,US,1970,1973,163.3800049,41,steel,1,
The Pinnacle,Chicago,US,2002,2004,163.0700073,48,concrete,1,
LaSalle National Bank,Chicago,US,1931,1934,163.0700073,45,steel,1,
Cathedral of Learning,Pittsburgh,US,1926,1936,163.0700073,42,steel,1,
Modis Tower,Jacksonville,US,0,1975,163.0700073,37,steel,1,
Aria on the Bay,Miami,US,2015,2017,163,50,concrete,1,
Ernst & Young Plaza,Los Angeles,US,0,1986,162.7599945,41,steel,1,
2929 Weslayan,Houston,US,2013,2015,162.5,40,concrete,1,
175 West 60th Street,New York City,US,2014,2016,162.4600067,48,concrete,1,
1700 Broadway,New York City,US,0,1969,162.4600067,41,steel,1,
One America Tower,Indianapolis,US,0,1982,162.4600067,38,steel,1,
Trump Plaza Residences,Jersey City,US,2006,2008,162.1600037,55,concrete,1,
Westin New York at Times Square,New York City,US,2000,2002,162.1600037,45,concrete,1,
DuMont Building,New York City,US,0,1931,162.1600037,42,steel,1,
The Brooklyner,New York City,US,2008,2010,162,52,concrete,1,
515 Park Avenue,New York City,US,0,1999,162,43,concrete,1,
Park Place Tower,Chicago,US,0,1971,161.8500061,56,concrete,1,
Plaza Tower,New Orleans,US,1964,1968,161.8500061,45,steel,1,
One North LaSalle Street,Chicago,US,1929,1930,161.5500031,48,steel,1,
William Green Building,Columbus,US,1986,1990,161.5500031,33,steel,1,
70 Columbus,Jersey City,US,2013,2015,161.3899994,50,concrete,1,
90 Columbus,Jersey City,US,2015,2017,161.3899994,50,concrete,1,
Elysees Condominiums,Chicago,US,1971,1973,161.2400055,56,concrete,2,
Legg Mason Building,Baltimore,US,1970,1973,161.2400055,40,concrete,1,
Tower at Erieview,Cleveland,US,1963,1964,161.2400055,40,steel,1,
First Market Tower,San Francisco,US,0,1972,161.2400055,38,steel,1,
McKesson Plaza,San Francisco,US,0,1969,161.2400055,38,steel,1,
Brickell Heights South Tower,Miami,US,2014,2016,161.1999969,52,concrete,1,
21 West End Avenue,New York City,US,2014,2017,161.1999969,45,concrete,1,
Jade at Brickell Bay,Miami,US,2002,2004,160.9400024,49,concrete,1,
The Metropolis,New York City,US,2000,2001,160.9400024,48,concrete,1,
William Beaver House,New York City,US,2006,2010,160.7799988,47,concrete,1,
Travelers Tower,Hartford,US,0,1919,160.6300049,24,steel,1,
Morrison Hotel,Chicago,US,0,1925,160.3300018,45,steel,1,
North American Plywood Building,New York City,US,0,1972,160.3300018,41,steel,1,
Vehicle Assembly Building,Cape Canaveral,US,1962,1965,160.3000031,40,steel,1,
Harrah`s Waterfront Tower,Atlantic City,US,2006,2008,160.0200043,44,concrete,2,
Plaza on Brickell Tower II,Miami,US,2005,2007,160,48,concrete,1,
Hotel Pierre,New York City,US,0,1928,160,44,steel,1,
767 3rd Avenue,New York City,US,0,1980,160,39,steel,1,
River Plaza,Chicago,US,0,1977,159.7200012,56,concrete,1,
Citibank Building,New York City,US,1959,1961,159.7200012,41,steel,1,
Amazon Tower I,Seattle,US,2013,2016,159.7200012,37,composite,1,
425 Market Street,San Francisco,US,0,1973,159.6999969,38,steel,1,
Fountain Square Tower,Evanston,US,0,0,159.4100037,49,concrete,1,
35 East Wacker Drive,Chicago,US,1925,1927,159.4100037,40,steel,1,
Pennzoil Place I,Houston,US,0,1976,159.4100037,36,composite,1,
Pennzoil Place II,Houston,US,0,1976,159.4100037,36,composite,1,
Mercantile Building,Dallas,US,0,1943,159.4100037,31,steel,1,
Kemper Building,Chicago,US,1960,1962,159.1100006,41,steel,1,
825 Third Avenue,New York City,US,0,1969,159.1100006,40,steel,1,
North Squared,Miami,US,0,0,159.1000061,48,concrete,1,
Mather Tower,Chicago,US,1926,1928,158.8999939,38,steel,2,
Atelier,New York City,US,2004,2007,158.8000031,46,concrete,1,
Amazon Tower II,Seattle,US,2014,2017,158.8000031,37,composite,1,
Santa Maria,Miami,US,0,1997,158.5,51,concrete,1,
Rise,Miami,US,2012,2016,158.5,45,concrete,1,
Three Mellon Center,Pittsburgh,US,0,1951,158.5,41,steel,1,
10 South Wacker,Chicago,US,1985,1987,158.5,40,concrete,1,
30 South Wacker,Chicago,US,1982,1983,158.5,40,concrete,1,
One Federal Street,Boston,US,0,1976,158.5,38,steel,1,
26 Broadway,New York City,US,1922,1924,158.5,31,steel,1,
Newsweek Building,New York City,US,1930,1931,158,42,steel,1,
RRI Energy Plaza,Houston,US,2001,2003,158,36,concrete,1,
The Residences at the Ritz-Carlton,Philadelphia,US,2007,2009,157.8899994,46,concrete,1,
The Downtown Club,New York City,US,1929,1930,157.8899994,39,steel,2,
Palms Place,Las Vegas,US,2006,2008,157.7599945,50,concrete,2,
The Columbian,Chicago,US,2005,2008,157.6600037,47,concrete,1,
Deutsche Bank,New York City,US,0,1974,157.5800018,39,steel,1,
TCW Tower,Los Angeles,US,0,1990,157.5800018,37,steel,1,
785 8th Avenue,New York City,US,2005,2009,157.4400024,42,concrete,1,
191 North Wacker Drive,Chicago,US,2000,2002,157.4100037,37,composite,1,
Highpoint Condominiums,New York City,US,0,1988,157.2799988,49,concrete,1,
"EAST, Miami",Miami,US,2012,2016,157.2799988,41,concrete,2,
Union Bank Plaza,Los Angeles,US,1965,1968,157.2799988,40,steel,1,
Frost Bank Tower,Austin,US,2001,2004,157.1999969,33,concrete,1,
401 East Ontario Street,Chicago,US,0,1990,156.9700012,51,concrete,1,
Sterling Drug Company Building,New York City,US,0,1964,156.9700012,41,steel,1,
Seagram Building,New York City,US,1956,1958,156.9700012,38,steel,1,
Park Avenue West,Portland,US,2008,2016,156.9700012,30,composite,2,
The Streeter,Chicago,US,2005,2007,156.6699982,50,concrete,1,
Rainier Tower,Seattle,US,0,1977,156.6699982,31,steel,1,
1214 Fifth Avenue,New York City,US,2010,2012,156.4100037,43,concrete,2,
600 North Lake Shore Drive - South Tower,Chicago,US,2005,2009,156.3600006,47,concrete,1,
Mid-Continent Tower,Tulsa,US,0,1984,156.3600006,36,steel,1,
Bank of New York Building,New York City,US,0,1927,156.3600006,31,steel,1,
Park Tower Condominiums,Chicago,US,1971,1973,156.3099976,54,concrete,1,
The Ivy,Miami,US,2005,2008,156.1600037,45,concrete,1,
Millennium Towers North,New York City,US,1928,1930,156.0599976,44,steel,1,
One Hanson Place,New York City,US,1927,1929,156.0599976,42,steel,1,
1407 Broadway,New York City,US,0,1950,156.0599976,41,steel,1,
International Building,New York City,US,1933,1935,156.0599976,41,steel,1,
LaSalle-Wacker Building,Chicago,US,1929,1930,156.0599976,41,steel,1,
437 Madison Avenue,New York City,US,0,1967,156.0599976,40,steel,1,
Bryan Tower,Dallas,US,1970,1973,156.0599976,40,steel,1,
Fourth and Madison Building,Seattle,US,2000,2003,156.0599976,40,composite,1,
PNC Tower,Louisville,US,1970,1972,156.0599976,40,steel,1,
Continental Building,New York City,US,1930,1931,155.7599945,42,steel,1,
1155 Avenue of the Americas,New York City,US,0,1984,155.7599945,40,steel,1,
K & L Gates Center,Pittsburgh,US,1966,1968,155.7599945,39,steel,1,
B4 Tower,New York City,US,0,0,155.75,54,steel,1,
Harris Bank Bank Addition II,Chicago,US,1972,1974,155.4499969,35,steel,1,
Liberty Plaza,New York City,US,2002,2004,155.3899994,45,concrete,1,
Bank of America Building,Baltimore,US,0,1924,155.1499939,37,steel,1,
KOIN Center,Portland,US,1981,1984,155.1499939,31,concrete,1,
Hudson Greene East Tower,Jersey City,US,2006,2010,155.1399994,48,concrete,1,
215 West,Chicago,US,2008,2010,155.0599976,50,concrete,1,
BrickellHouse,Miami,US,2012,2014,155.0399933,48,concrete,1,
Renaissance Center 100 Tower,Detroit,US,1973,1976,155,39,concrete,1,
Renaissance Center 200 Tower,Detroit,US,1973,1976,155,39,concrete,1,
Renaissance Center 300 Tower,Detroit,US,1973,1976,155,39,concrete,1,
Renaissance Center 400 Tower,Detroit,US,1973,1976,155,39,concrete,1,
The Westin Virginia Beach Town Center & Residences,Virginia Beach,US,2005,2007,154.8399963,38,concrete,2,
The Couture,Milwaukee,US,0,0,154.5299988,44,concrete,1,
One Beacon Street,Boston,US,0,1972,154.5,36,steel,1,
United Nations Secretariat Building,New York City,US,1947,1953,154.3000031,39,steel,1,
810 7th Avenue,New York City,US,0,1970,154.2299957,41,steel,1,
10 Universal City Plaza,Los Angeles,US,0,1984,154.2299957,36,steel,1,
400 East Ohio Street,Chicago,US,0,1982,154,50,concrete,1,
The Beach Club Tower 2,Hallandale Beach,US,2004,2006,153.9299927,50,concrete,1,
One United Nations Plaza,New York City,US,0,1975,153.9299927,39,steel,2,
Two United Nations Plaza,New York City,US,0,1981,153.9299927,39,steel,2,
One Indiana Square,Indianapolis,US,1967,1969,153.6199951,37,steel,1,
Fifth Street Towers II,Minneapolis,US,0,1988,153.4700012,36,composite,1,
Vern Riffe Center for Govermnment and the Arts,Columbus,US,0,1989,153.4700012,33,steel,1,
Johns-Manville Building,New York City,US,1930,1931,153.3200073,43,steel,1,
Bank of America Plaza,Charlotte,US,1972,1974,153.3200073,40,steel,1,
60 Broad Street,New York City,US,1960,1962,153.3200073,39,steel,1,
Carbide & Carbon Building,Chicago,US,1928,1929,153.3200073,37,steel,1,
Lefcourt National Building,New York City,US,0,1928,153.3200073,37,steel,1,
State Street Financial Center,Boston,US,2000,2003,153.3200073,36,steel,1,
Reach,Miami,US,2012,2016,153.3000031,44,concrete,1,
Met 2 Marriott Marquis,Miami,US,2007,2010,153.0700073,41,concrete,1,
El Paso Energy Building,Houston,US,0,1962,153,33,steel,1,
One Superior Place,Chicago,US,1998,1999,152.9100037,52,concrete,1,
Hudson Greene West Tower,Jersey City,US,2006,2010,152.8200073,48,concrete,1,
Sheraton New York,New York City,US,0,1962,152.7100067,51,concrete,1,
Wind,Miami,US,2005,2008,152.7100067,41,concrete,1,
120 North LaSalle,Chicago,US,1989,1992,152.7100067,39,concrete,1,
World Apparel Center,New York City,US,0,1968,152.7100067,39,steel,1,
10 South LaSalle,Chicago,US,0,1986,152.7100067,37,composite,1,
One Park Place,Houston,US,2007,2009,152.7100067,37,concrete,1,
Viewpoint,Atlanta,US,2006,2008,152.6999969,36,concrete,1,
International Gem Tower,New York City,US,2008,2013,152.6600037,34,steel,1,
1450 BRICKELL,Miami,US,2007,2010,152.5299988,34,concrete,1,
One Columbus Place Tower I,New York City,US,1997,1999,152.3999939,49,concrete,1,
One Columbus Place Tower II,New York City,US,1997,1999,152.3999939,49,concrete,1,
Sky Las Vegas,Las Vegas,US,2005,2007,152.3999939,45,concrete,1,
Paraiso Bayviews,Miami,US,2015,2018,152.3999939,44,concrete,1,
1818 Market Street,Philadelphia,US,0,1974,152.3999939,40,steel,1,
28 State Street,Boston,US,0,1970,152.3999939,40,steel,1,
Telesis Tower,San Francisco,US,0,1982,152.3999939,38,steel,1,
Memorial Hermann Tower,Houston,US,2006,2009,152.3999939,35,concrete,2,
Four World Financial Center,New York City,US,0,1986,152.3999939,34,steel,1,
One America Plaza,San Diego,US,0,1991,152.3999939,34,steel,1,
The Tides,Chicago,US,2006,2008,152.3500061,51,concrete,1,
200 South Wacker,Chicago,US,1979,1981,152.3000031,41,concrete,1,
The St. James,Philadelphia,US,2001,2004,151.8399963,45,concrete,1,
The Modern Tower A,Fort Lee,US,2012,2014,151.8000031,47,concrete,1,
The Modern Tower B,Fort Lee,US,2014,2017,151.8000031,47,concrete,1,
Barclay-Vesey Building,New York City,US,1923,1926,151.7899933,32,steel,1,
Parkview West,Chicago,US,2006,2008,151.6399994,49,concrete,1,
Ameriprise Financial Center,Minneapolis,US,1997,2000,151.6399994,31,steel/concrete,1,
80 Pine Street,New York City,US,1957,1960,151.5,40,steel,1,
500 North Lake Shore Drive,Chicago,US,2011,2013,151.4900055,47,concrete,1,
Manchester Grand Hyatt Hotel,San Diego,US,0,1992,151.4900055,40,concrete,1,
The Platinum,New York City,US,2006,2008,151.1799927,43,concrete,1,
Financial Times Building,New York City,US,0,1965,151.1799927,41,steel,1,
Marriott's Custom House,Boston,US,1913,1915,151.1799927,32,steel,1,
Guardian Building,Detroit,US,1928,1929,151.0299988,40,steel,1,
20 Pine,New York City,US,1926,1928,151,38,steel,1,
55 West Monroe,Chicago,US,1977,1980,150.9199982,41,concrete,1,
Ontario Place,Chicago,US,1982,1983,150.8800049,49,concrete,1,
Avenue Brickell Tower,Miami,US,2005,2007,150.8800049,47,concrete,1,
333 Bush Street,San Francisco,US,0,1986,150.8800049,43,steel,2,
PNC Tower,Cincinnati,US,0,1913,150.8800049,31,steel,1,
John Hancock Building,Boston,US,0,1949,150.8800049,26,steel,1,
The Ritz-Carlton Residences,Chicago,US,2009,2012,150.8500061,40,concrete,1,
50 East Chestnut Street,Chicago,US,2005,2008,150.7299957,40,concrete,1,
Icon Bay,Miami,US,2013,2015,150.5700073,42,concrete,1,
Hilton San Francisco Union Square,San Francisco,US,0,1971,150.2700043,46,steel,1,
1000 Second Avenue,Seattle,US,0,1986,150.2700043,40,steel,1,
First National Center,Oklahoma City,US,0,1931,150.2700043,33,steel,1,
Fuller Building,New York City,US,1928,1929,150,42,steel,1,
One Meridian Plaza,Philadelphia,US,0,1972,150,38,steel,1,
Akoya Condominiums,Miami Beach,US,2002,2004,149.9600067,47,concrete,1,
Loews Philadelphia Hotel,Philadelphia,US,1929,1932,149.9600067,36,steel,1,
Pacific Gas & Electric Building,San Francisco,US,0,1971,149.9600067,34,steel,1,
Target Plaza South,Minneapolis,US,1999,2001,149.8899994,33,composite,1,
200 Riverside Boulevard At Trump Place,New York City,US,0,1999,149.8099976,46,concrete,1,
The Bond at Brickell,Miami,US,2014,2016,149.6999969,44,concrete,1,
1 West End Avenue,New York City,US,2015,2018,149.6600037,41,concrete,1,
Chelsea Stratus,New York City,US,2006,2008,149.6600037,40,concrete,1,
Twelve Centennial Park Tower I,Atlanta,US,2005,2007,149.6600037,39,concrete,1,
CBS Building,New York City,US,1961,1965,149.6600037,38,concrete,1,
Constellation Place,Los Angeles,US,2001,2003,149.5,35,steel,1,
235 West Van Buren,Chicago,US,2007,2010,149.4100037,46,concrete,1,
One South Halsted,Chicago,US,2016,0,149.3500061,44,concrete,1,
Fifth Third Center,Nashville,US,1983,1986,149.3500061,30,concrete,1,
Hess Tower,Houston,US,2008,2010,149.3500061,29,concrete,1,
33 Arch Street,Boston,US,2001,2004,149.0500031,33,steel,1,
Hyatt Regency Denver at the Colorado Convention Center,Denver,US,2003,2005,149,37,concrete,1,
One Rockefeller Plaza,New York City,US,1936,1937,149,34,steel,1,
The Bristol,Chicago,US,1998,2000,148.7400055,42,concrete,1,
1075 Peachtree Office Tower,Atlanta,US,2007,2010,148.7400055,38,concrete,1,
333 Wacker Drive,Chicago,US,1981,1983,148.5700073,36,steel,1,
50 California Street,San Francisco,US,0,1972,148.4400024,37,steel,1,
Henry M. Jackson Federal Building,Seattle,US,1971,1974,148.4400024,37,composite,1,
Mohegan Sun Sky Tower,Montville,US,0,2002,148.4400024,34,steel,1,
555 Mission Street,San Francisco,US,2007,2008,148.4400024,33,steel,1,
Espirito Santo Plaza,Miami,US,2000,2004,148.3999939,36,concrete,3,
City Investing Building,New York City,US,1906,1908,148.2899933,33,steel,1,
Park Avenue Condominiums,Atlanta,US,1998,2000,148.1399994,44,concrete,1,
Wolf Point West Tower,Chicago,US,2014,2016,148.0800018,48,concrete,1,
THEHotel,Las Vegas,US,2002,2003,147.9299927,43,concrete,1,
Terminus 100,Atlanta,US,0,2007,147.9100037,26,concrete,1,
Grant Building,Pittsburgh,US,1927,1930,147.8300018,40,steel,1,
McGraw-Hill Building,New York City,US,1930,1931,147.8300018,33,steel,1,
99 Washington Street,New York City,US,2011,2015,147.7799988,50,concrete,1,
Regalia,Sunny Isles Beach,US,2011,2015,147.75,43,concrete,1,
One US Bank Plaza,St. Louis,US,1973,1976,147.6000061,35,steel,1,
St. Regis San Francisco,San Francisco,US,2001,2005,147.5299988,42,concrete,2,
Brickell World Plaza at 600 Brickell,Miami,US,2007,2011,147.5299988,40,steel/concrete,1,
"The Residences at the Ritz Carlton, Westchester - North Tower",White Plains,US,2006,2009,147.5200043,44,concrete,1,
"The Residences at the Ritz Carlton, Westchester - South Tower",White Plains,US,2005,2008,147.5200043,44,concrete,2,
Miami Center,Miami,US,1981,1983,147.5200043,34,steel,1,
1 Bank of America Center,Charlotte,US,2007,2010,147.5200043,32,composite,1,
Trump Bay Street,Jersey City,US,2014,2017,147.5,50,concrete,1,
Portofino Tower,Miami Beach,US,0,1997,147.5,44,concrete,1,
Ten Thousand,Los Angeles,US,2014,2016,147.5,40,concrete,1,
Panorama Tower III,Las Vegas,US,2007,2009,147.3200073,42,concrete,1,
Spire,Denver,US,2007,2009,147.2200012,41,concrete,1,
Chase Tower,Phoenix,US,0,1972,147.2200012,40,steel,1,
666 5th Avenue,New York City,US,1956,1957,147.2200012,39,steel,1,
Asia,Miami,US,2005,2007,147.2200012,36,concrete,1,
Excelsior House,New York City,US,1964,1967,147,47,concrete,1,
Brickell on the River North Tower,Miami,US,2003,2005,146.9199982,42,concrete,1,
Kansas City Power & Light Building,Kansas City,US,1930,1931,146.6100006,34,steel,1,
KPMG Centre,Dallas,US,0,1980,146.6100006,34,steel,1,
23-10 Queens Plaza South,New York City,US,2014,2017,146.6000061,44,concrete,1,
The Regatta,Chicago,US,2004,2007,146.4499969,45,concrete,1,
Three Tequesta Point,Miami,US,1999,2001,146.3000031,46,concrete,1,
160 Madison Avenue,New York City,US,2013,2015,146.3000031,42,concrete,1,
15th and Island Tower 1,San Diego,US,2013,2016,146,45,concrete,1,
